Name	Start	Duration	Time Format	Type	Description
Marker 01	0:09.080	0:00.000	decimal	Cue	
Marker 02	0:15.260	0:00.000	decimal	Cue	
Marker 03	0:21.131	0:00.000	decimal	Cue	
Marker 13	0:30.268	0:00.000	decimal	Cue	
Marker 14	0:36.793	0:00.000	decimal	Cue	
Marker 15	0:39.998	0:00.000	decimal	Cue	
Marker 16	0:47.428	0:00.000	decimal	Cue	
Marker 199	0:50.948	0:00.000	decimal	Cue	
Marker 40	0:53.553	0:00.000	decimal	Cue	
Marker 46	1:02.770	0:00.000	decimal	Cue	
Marker 65	1:09.119	0:00.000	decimal	Cue	
Marker 66	1:15.235	0:00.000	decimal	Cue	
Marker 67	1:22.609	0:00.000	decimal	Cue	
Marker 68	1:27.237	0:00.000	decimal	Cue	
Marker 69	1:32.359	0:00.000	decimal	Cue	
Marker 70	1:35.283	0:00.000	decimal	Cue	
Marker 71	1:38.234	0:00.000	decimal	Cue	
Marker 72	1:48.029	0:00.000	decimal	Cue	
Marker 73	1:53.419	0:00.000	decimal	Cue	
Marker 74	2:01.149	0:00.000	decimal	Cue	
Marker 80	2:04.877	0:00.000	decimal	Cue	
Marker 91	2:13.970	0:00.000	decimal	Cue	
Marker 92	2:19.033	0:00.000	decimal	Cue	
Marker 93	2:26.717	0:00.000	decimal	Cue	
Marker 94	2:37.593	0:00.000	decimal	Cue	
Marker 95	2:44.006	0:00.000	decimal	Cue	
Marker 114	2:52.652	0:00.000	decimal	Cue	
Marker 115	2:58.778	0:00.000	decimal	Cue	
Marker 133	3:08.055	0:00.000	decimal	Cue	
Marker 134	3:13.366	0:00.000	decimal	Cue	
Marker 135	3:20.483	0:00.000	decimal	Cue	
Marker 136	3:30.262	0:00.000	decimal	Cue	
Marker 137	3:39.796	0:00.000	decimal	Cue	
Marker 138	3:47.121	0:00.000	decimal	Cue	
Marker 149	3:53.902	0:00.000	decimal	Cue	
Marker 150	3:59.468	0:00.000	decimal	Cue	
Marker 151	4:04.862	0:00.000	decimal	Cue	
Marker 152	4:11.908	0:00.000	decimal	Cue	
Marker 162	4:20.904	0:00.000	decimal	Cue	
Marker 163	4:28.449	0:00.000	decimal	Cue	
Marker 169	4:38.460	0:00.000	decimal	Cue	
Marker 170	4:50.459	0:00.000	decimal	Cue	
Marker 171	4:56.246	0:00.000	decimal	Cue	
Marker 172	5:04.045	0:00.000	decimal	Cue	
Marker 173	5:15.662	0:00.000	decimal	Cue	
Marker 185	5:20.060	0:00.000	decimal	Cue	
Marker 186	5:25.189	0:00.000	decimal	Cue	
Marker 196	5:32.050	0:00.000	decimal	Cue	
Marker 197	5:37.681	0:00.000	decimal	Cue	
Marker 198	5:45.325	0:00.000	decimal	Cue	
