Name	Start	Duration	Time Format	Type	Description
Marker 02	0:04.172	0:00.000	decimal	Cue	
Marker 08	0:16.922	0:00.000	decimal	Cue	
Marker 20	0:27.292	0:00.000	decimal	Cue	
Marker 21	0:35.102	0:00.000	decimal	Cue	
Marker 22	0:41.322	0:00.000	decimal	Cue	
Marker 23	0:46.892	0:00.000	decimal	Cue	
Marker 39	0:53.851	0:00.000	decimal	Cue	
Marker 40	1:03.355	0:00.000	decimal	Cue	
Marker 41	1:06.691	0:00.000	decimal	Cue	
Marker 49	1:13.655	0:00.000	decimal	Cue	
Marker 54	1:22.861	0:00.000	decimal	Cue	
Marker 55	1:26.021	0:00.000	decimal	Cue	
Marker 56	1:31.257	0:00.000	decimal	Cue	
Marker 61	1:39.372	0:00.000	decimal	Cue	
Marker 62	1:44.816	0:00.000	decimal	Cue	
Marker 67	1:49.496	0:00.000	decimal	Cue	
Marker 68	1:59.202	0:00.000	decimal	Cue	
Marker 74	2:03.818	0:00.000	decimal	Cue	
Marker 75	2:08.788	0:00.000	decimal	Cue	
Marker 84	2:15.973	0:00.000	decimal	Cue	
Marker 98	2:24.768	0:00.000	decimal	Cue	
Marker 110	2:33.849	0:00.000	decimal	Cue	
Marker 116	2:39.966	0:00.000	decimal	Cue	
Marker 117	2:46.892	0:00.000	decimal	Cue	
Marker 118	2:56.126	0:00.000	decimal	Cue	
Marker 125	3:02.451	0:00.000	decimal	Cue	
Marker 135	3:09.684	0:00.000	decimal	Cue	
Marker 141	3:13.785	0:00.000	decimal	Cue	
Marker 142	3:18.935	0:00.000	decimal	Cue	
Marker 148	3:24.428	0:00.000	decimal	Cue	
Marker 165	3:33.730	0:00.000	decimal	Cue	
Marker 166	3:37.404	0:00.000	decimal	Cue	
Marker 176	3:43.955	0:00.000	decimal	Cue	
Marker 177	3:51.915	0:00.000	decimal	Cue	
Marker 178	3:58.555	0:00.000	decimal	Cue	
Marker 179	4:03.571	0:00.000	decimal	Cue	
Marker 184	4:11.601	0:00.000	decimal	Cue	
Marker 190	4:19.191	0:00.000	decimal	Cue	
Marker 198	4:23.104	0:00.000	decimal	Cue	
Marker 199	4:30.668	0:00.000	decimal	Cue	
Marker 204	4:44.549	0:00.000	decimal	Cue	
Marker 205	4:46.378	0:00.000	decimal	Cue	
Marker 206	4:51.469	0:00.000	decimal	Cue	
Marker 207	4:54.525	0:00.000	decimal	Cue	
Marker 219	5:01.033	0:00.000	decimal	Cue	
Marker 220	5:04.921	0:00.000	decimal	Cue	
Marker 239	5:10.348	0:00.000	decimal	Cue	
Marker 251	5:19.560	0:00.000	decimal	Cue	
Marker 252	5:25.545	0:00.000	decimal	Cue	
Marker 257	5:31.553	0:00.000	decimal	Cue	
Marker 258	5:36.099	0:00.000	decimal	Cue	
Marker 259	5:41.703	0:00.000	decimal	Cue	
Marker 275	5:48.052	0:00.000	decimal	Cue	
Marker 276	5:50.666	0:00.000	decimal	Cue	
Marker 277	5:58.396	0:00.000	decimal	Cue	
Marker 313	6:11.891	0:00.000	decimal	Cue	
