Name	Start	Duration	Time Format	Type	Description
Marker 09	0:07.414	0:00.000	decimal	Cue	
Marker 16	0:14.792	0:00.000	decimal	Cue	
Marker 62	0:23.910	0:00.000	decimal	Cue	
Marker 77	0:28.652	0:00.000	decimal	Cue	
Marker 78	0:34.748	0:00.000	decimal	Cue	
Marker 83	0:42.568	0:00.000	decimal	Cue	
Marker 84	0:51.978	0:00.000	decimal	Cue	
Marker 97	1:00.972	0:00.000	decimal	Cue	
Marker 135	1:08.638	0:00.000	decimal	Cue	
Marker 136	1:16.068	0:00.000	decimal	Cue	
Marker 142	1:20.682	0:00.000	decimal	Cue	
Marker 143	1:25.496	0:00.000	decimal	Cue	
Marker 151	1:34.609	0:00.000	decimal	Cue	
Marker 152	1:39.489	0:00.000	decimal	Cue	
Marker 157	1:48.315	0:00.000	decimal	Cue	
Marker 201	1:58.684	0:00.000	decimal	Cue	
Marker 212	2:05.000	0:00.000	decimal	Cue	
Marker 223	2:13.142	0:00.000	decimal	Cue	
Marker 234	2:18.971	0:00.000	decimal	Cue	
Marker 244	2:28.208	0:00.000	decimal	Cue	
Marker 245	2:31.844	0:00.000	decimal	Cue	
Marker 246	2:39.148	0:00.000	decimal	Cue	
Marker 247	2:46.564	0:00.000	decimal	Cue	
Marker 253	2:57.568	0:00.000	decimal	Cue	
Marker 258	3:08.166	0:00.000	decimal	Cue	
Marker 274	3:19.133	0:00.000	decimal	Cue	
Marker 279	3:23.992	0:00.000	decimal	Cue	
Marker 290	3:29.540	0:00.000	decimal	Cue	
Marker 291	3:33.390	0:00.000	decimal	Cue	
Marker 302	3:38.930	0:00.000	decimal	Cue	
Marker 311	3:45.326	0:00.000	decimal	Cue	
