Name	Start	Duration	Time Format	Type	Description
Marker 06	0:07.017	0:00.000	decimal	Cue	
Marker 17	0:16.309	0:00.000	decimal	Cue	
Marker 18	0:22.403	0:00.000	decimal	Cue	
Marker 19	0:31.393	0:00.000	decimal	Cue	
Marker 20	0:35.269	0:00.000	decimal	Cue	
Marker 21	0:40.583	0:00.000	decimal	Cue	
Marker 30	0:45.715	0:00.000	decimal	Cue	
Marker 31	0:53.105	0:00.000	decimal	Cue	
Marker 32	1:01.735	0:00.000	decimal	Cue	
Marker 33	1:05.532	0:00.000	decimal	Cue	
Marker 34	1:13.345	0:00.000	decimal	Cue	
Marker 35	1:17.591	0:00.000	decimal	Cue	
Marker 36	1:23.661	0:00.000	decimal	Cue	
Marker 37	1:27.461	0:00.000	decimal	Cue	
Marker 38	1:34.491	0:00.000	decimal	Cue	
Marker 39	1:40.582	0:00.000	decimal	Cue	
Marker 40	1:46.011	0:00.000	decimal	Cue	
Marker 41	1:49.916	0:00.000	decimal	Cue	
Marker 51	1:56.618	0:00.000	decimal	Cue	
Marker 52	2:03.132	0:00.000	decimal	Cue	
Marker 53	2:09.522	0:00.000	decimal	Cue	
Marker 54	2:14.512	0:00.000	decimal	Cue	
Marker 60	2:17.780	0:00.000	decimal	Cue	
Marker 61	2:23.424	0:00.000	decimal	Cue	
Marker 62	2:30.234	0:00.000	decimal	Cue	
Marker 63	2:35.414	0:00.000	decimal	Cue	
Marker 64	2:42.241	0:00.000	decimal	Cue	
Marker 65	2:50.554	0:00.000	decimal	Cue	
Marker 66	2:54.144	0:00.000	decimal	Cue	
Marker 67	2:59.354	0:00.000	decimal	Cue	
Marker 71	3:09.637	0:00.000	decimal	Cue	
Marker 72	3:19.087	0:00.000	decimal	Cue	
Marker 73	3:26.593	0:00.000	decimal	Cue	
Marker 74	3:32.963	0:00.000	decimal	Cue	
Marker 75	3:34.712	0:00.000	decimal	Cue	
Marker 76	3:39.162	0:00.000	decimal	Cue	
Marker 83	3:45.275	0:00.000	decimal	Cue	
Marker 84	3:51.755	0:00.000	decimal	Cue	
Marker 85	4:00.995	0:00.000	decimal	Cue	
Marker 86	4:06.261	0:00.000	decimal	Cue	
Marker 87	4:14.165	0:00.000	decimal	Cue	
Marker 88	4:21.175	0:00.000	decimal	Cue	
Marker 89	4:26.900	0:00.000	decimal	Cue	
Marker 95	4:38.022	0:00.000	decimal	Cue	
Marker 96	4:43.312	0:00.000	decimal	Cue	
Marker 97	4:48.048	0:00.000	decimal	Cue	
Marker 98	4:55.742	0:00.000	decimal	Cue	
Marker 109	5:02.220	0:00.000	decimal	Cue	
Marker 153	5:08.986	0:00.000	decimal	Cue	
Marker 159	5:16.121	0:00.000	decimal	Cue	
Marker 160	5:23.444	0:00.000	decimal	Cue	
Marker 169	5:29.341	0:00.000	decimal	Cue	
Marker 170	5:32.502	0:00.000	decimal	Cue	
Marker 171	5:43.297	0:00.000	decimal	Cue	
Marker 172	5:51.752	0:00.000	decimal	Cue	
Marker 173	5:59.991	0:00.000	decimal	Cue	
Marker 174	6:07.391	0:00.000	decimal	Cue	
