Name	Start	Duration	Time Format	Type	Description
Marker 786	0:00.000	0:01.000	decimal	Cue	Silence Marker
Marker 787	0:07.064	0:01.000	decimal	Cue	Silence Marker
Marker 788	0:17.027	0:01.000	decimal	Cue	Silence Marker
Marker 789	0:29.343	0:01.000	decimal	Cue	Silence Marker
Marker 790	0:37.406	0:01.000	decimal	Cue	Silence Marker
Marker 791	0:44.406	0:01.000	decimal	Cue	Silence Marker
Marker 792	0:54.689	0:01.000	decimal	Cue	Silence Marker
Marker 793	1:06.995	0:01.000	decimal	Cue	Silence Marker
Marker 794	1:15.278	0:01.000	decimal	Cue	Silence Marker
Marker 795	1:21.082	0:01.000	decimal	Cue	Silence Marker
Marker 796	1:25.783	0:01.000	decimal	Cue	Silence Marker
Marker 797	1:37.524	0:01.000	decimal	Cue	Silence Marker
Marker 798	1:47.378	0:01.000	decimal	Cue	Silence Marker
Marker 799	1:52.614	0:01.000	decimal	Cue	Silence Marker
Marker 800	1:57.039	0:01.000	decimal	Cue	Silence Marker
Marker 801	2:11.512	0:01.000	decimal	Cue	Silence Marker
Marker 802	2:24.391	0:01.000	decimal	Cue	Silence Marker
Marker 803	2:41.416	0:01.000	decimal	Cue	Silence Marker
Marker 804	2:52.251	0:01.000	decimal	Cue	Silence Marker
Marker 805	2:59.870	0:01.000	decimal	Cue	Silence Marker
Marker 806	3:12.035	0:01.000	decimal	Cue	Silence Marker
Marker 807	3:18.044	0:01.000	decimal	Cue	Silence Marker
Marker 808	3:24.975	0:01.000	decimal	Cue	Silence Marker
Marker 809	3:38.222	0:01.000	decimal	Cue	Silence Marker
Marker 810	3:44.516	0:01.000	decimal	Cue	Silence Marker
Marker 811	3:52.292	0:01.000	decimal	Cue	Silence Marker
