Name	Start	Duration	Time Format	Type	Description
Marker 04	0:04.841	0:00.000	decimal	Cue	
Marker 05	0:08.091	0:00.000	decimal	Cue	
Marker 06	0:15.031	0:00.000	decimal	Cue	
Marker 16	0:24.243	0:00.000	decimal	Cue	
Marker 17	0:29.960	0:00.000	decimal	Cue	
Marker 18	0:40.303	0:00.000	decimal	Cue	
Marker 25	0:51.899	0:00.000	decimal	Cue	
Marker 30	1:00.150	0:00.000	decimal	Cue	
Marker 35	1:07.178	0:00.000	decimal	Cue	
Marker 49	1:19.351	0:00.000	decimal	Cue	
Marker 53	1:30.283	0:00.000	decimal	Cue	
Marker 62	1:37.822	0:00.000	decimal	Cue	
Marker 66	1:42.530	0:00.000	decimal	Cue	
Marker 73	1:50.670	0:00.000	decimal	Cue	
Marker 77	1:56.684	0:00.000	decimal	Cue	
Marker 78	2:01.217	0:00.000	decimal	Cue	
Marker 82	2:10.793	0:00.000	decimal	Cue	
Marker 87	2:15.467	0:00.000	decimal	Cue	
Marker 91	2:24.432	0:00.000	decimal	Cue	
Marker 109	2:38.121	0:00.000	decimal	Cue	
Marker 119	2:44.303	0:00.000	decimal	Cue	
Marker 130	2:48.710	0:00.000	decimal	Cue	
Marker 143	2:56.372	0:00.000	decimal	Cue	
Marker 144	2:59.761	0:00.000	decimal	Cue	
Marker 152	3:08.641	0:00.000	decimal	Cue	
