Name	Start	Duration	Time Format	Type	Description
Marker 01	0:10.484	0:00.000	decimal	Cue	
Marker 13	0:15.117	0:00.000	decimal	Cue	
Marker 14	0:22.177	0:00.000	decimal	Cue	
Marker 15	0:32.837	0:00.000	decimal	Cue	
Marker 54	0:41.575	0:00.000	decimal	Cue	
Marker 60	0:44.817	0:00.000	decimal	Cue	
Marker 61	0:53.053	0:00.000	decimal	Cue	
Marker 62	1:00.803	0:00.000	decimal	Cue	
Marker 73	1:08.310	0:00.000	decimal	Cue	
Marker 74	1:15.419	0:00.000	decimal	Cue	
Marker 75	1:18.513	0:00.000	decimal	Cue	
Marker 76	1:27.243	0:00.000	decimal	Cue	
Marker 77	1:33.979	0:00.000	decimal	Cue	
Marker 85	1:41.399	0:00.000	decimal	Cue	
Marker 100	1:51.964	0:00.000	decimal	Cue	
Marker 124	2:01.857	0:00.000	decimal	Cue	
Marker 137	2:05.926	0:00.000	decimal	Cue	
Marker 138	2:10.970	0:00.000	decimal	Cue	
Marker 139	2:15.556	0:00.000	decimal	Cue	
Marker 140	2:23.830	0:00.000	decimal	Cue	
Marker 161	2:28.570	0:00.000	decimal	Cue	
Marker 162	2:35.730	0:00.000	decimal	Cue	
Marker 167	2:39.796	0:00.000	decimal	Cue	
Marker 168	2:43.976	0:00.000	decimal	Cue	
Marker 169	2:52.496	0:00.000	decimal	Cue	
Marker 183	2:59.496	0:00.000	decimal	Cue	
Marker 190	3:06.812	0:00.000	decimal	Cue	
Marker 203	3:14.167	0:00.000	decimal	Cue	
Marker 213	3:26.195	0:00.000	decimal	Cue	
