Name	Start	Duration	Time Format	Type	Description
Marker 01	0:06.941	0:00.000	decimal	Cue	
Marker 09	0:22.043	0:00.000	decimal	Cue	
Marker 10	0:28.298	0:00.000	decimal	Cue	
Marker 15	0:34.444	0:00.000	decimal	Cue	
Marker 26	0:40.797	0:00.000	decimal	Cue	
Marker 27	0:44.965	0:00.000	decimal	Cue	
Marker 28	0:51.804	0:00.000	decimal	Cue	
Marker 29	0:58.948	0:00.000	decimal	Cue	
Marker 41	1:05.950	0:00.000	decimal	Cue	
Marker 42	1:20.149	0:00.000	decimal	Cue	
Marker 43	1:26.871	0:00.000	decimal	Cue	
Marker 44	1:43.801	0:00.000	decimal	Cue	
Marker 45	1:52.460	0:00.000	decimal	Cue	
Marker 46	1:58.298	0:00.000	decimal	Cue	
Marker 47	2:02.173	0:00.000	decimal	Cue	
Marker 54	2:08.587	0:00.000	decimal	Cue	
Marker 55	2:19.312	0:00.000	decimal	Cue	
Marker 56	2:26.002	0:00.000	decimal	Cue	
Marker 57	2:33.887	0:00.000	decimal	Cue	
Marker 58	2:42.864	0:00.000	decimal	Cue	
Marker 73	2:52.746	0:00.000	decimal	Cue	
Marker 74	2:57.606	0:00.000	decimal	Cue	
Marker 75	3:05.469	0:00.000	decimal	Cue	
Marker 81	3:13.126	0:00.000	decimal	Cue	
Marker 87	3:19.431	0:00.000	decimal	Cue	
Marker 88	3:30.720	0:00.000	decimal	Cue	
Marker 104	3:41.365	0:00.000	decimal	Cue	
Marker 105	3:48.533	0:00.000	decimal	Cue	
Marker 106	3:51.956	0:00.000	decimal	Cue	
Marker 112	4:00.232	0:00.000	decimal	Cue	
Marker 123	4:05.479	0:00.000	decimal	Cue	
