Name	Start	Duration	Time Format	Type	Description
Marker 09	0:07.036	0:00.000	decimal	Cue	
Marker 10	0:11.475	0:00.000	decimal	Cue	
Marker 11	0:16.926	0:00.000	decimal	Cue	
Marker 12	0:23.009	0:00.000	decimal	Cue	
Marker 13	0:26.815	0:00.000	decimal	Cue	
Marker 14	0:35.529	0:00.000	decimal	Cue	
Marker 15	0:42.000	0:00.000	decimal	Cue	
Marker 16	0:46.511	0:00.000	decimal	Cue	
Marker 17	0:58.778	0:00.000	decimal	Cue	
Marker 18	1:01.773	0:00.000	decimal	Cue	
Marker 19	1:05.079	0:00.000	decimal	Cue	
Marker 20	1:08.756	0:00.000	decimal	Cue	
Marker 21	1:15.434	0:00.000	decimal	Cue	
Marker 22	1:25.842	0:00.000	decimal	Cue	
Marker 23	1:32.115	0:00.000	decimal	Cue	
Marker 24	1:35.143	0:00.000	decimal	Cue	
Marker 25	1:43.792	0:00.000	decimal	Cue	
Marker 26	1:50.000	0:00.000	decimal	Cue	
Marker 27	1:55.520	0:00.000	decimal	Cue	
Marker 28	2:00.558	0:00.000	decimal	Cue	
Marker 29	2:05.197	0:00.000	decimal	Cue	
Marker 30	2:10.520	0:00.000	decimal	Cue	
Marker 31	2:16.846	0:00.000	decimal	Cue	
Marker 32	2:27.293	0:00.000	decimal	Cue	
Marker 33	2:37.304	0:00.000	decimal	Cue	
Marker 34	2:41.405	0:00.000	decimal	Cue	
Marker 35	2:51.061	0:00.000	decimal	Cue	
Marker 36	2:55.020	0:00.000	decimal	Cue	
Marker 37	3:00.133	0:00.000	decimal	Cue	
Marker 38	3:07.251	0:00.000	decimal	Cue	
Marker 39	3:11.720	0:00.000	decimal	Cue	
