Name	Start	Duration	Time Format	Type	Description
Marker 15	0:04.549	0:00.000	decimal	Cue	
Marker 16	0:13.276	0:00.000	decimal	Cue	
Marker 17	0:24.954	0:00.000	decimal	Cue	
Marker 21	0:30.132	0:00.000	decimal	Cue	
Marker 22	0:37.140	0:00.000	decimal	Cue	
Marker 27	0:43.359	0:00.000	decimal	Cue	
Marker 32	0:51.324	0:00.000	decimal	Cue	
Marker 39	0:56.775	0:00.000	decimal	Cue	
Marker 45	1:00.324	0:00.000	decimal	Cue	
Marker 49	1:07.892	0:00.000	decimal	Cue	
Marker 59	1:15.260	0:00.000	decimal	Cue	
Marker 70	1:28.737	0:00.000	decimal	Cue	
Marker 80	1:35.447	0:00.000	decimal	Cue	
Marker 90	1:43.643	0:00.000	decimal	Cue	
Marker 91	1:53.343	0:00.000	decimal	Cue	
Marker 101	2:01.176	0:00.000	decimal	Cue	
Marker 102	2:09.742	0:00.000	decimal	Cue	
Marker 114	2:15.895	0:00.000	decimal	Cue	
Marker 115	2:22.418	0:00.000	decimal	Cue	
Marker 132	2:28.706	0:00.000	decimal	Cue	
Marker 139	2:34.173	0:00.000	decimal	Cue	
Marker 151	2:40.443	0:00.000	decimal	Cue	
