Name	Start	Duration	Time Format	Type	Description
Marker 02	0:10.000	0:00.000	decimal	Cue	
Marker 03	0:15.324	0:00.000	decimal	Cue	
Marker 10	0:18.496	0:00.000	decimal	Cue	
Marker 11	0:22.711	0:00.000	decimal	Cue	
Marker 22	0:29.005	0:00.000	decimal	Cue	
Marker 23	0:37.974	0:00.000	decimal	Cue	
Marker 57	0:49.481	0:00.000	decimal	Cue	
Marker 62	0:54.305	0:00.000	decimal	Cue	
Marker 67	1:01.049	0:00.000	decimal	Cue	
Marker 73	1:08.958	0:00.000	decimal	Cue	
Marker 82	1:15.729	0:00.000	decimal	Cue	
Marker 87	1:22.436	0:00.000	decimal	Cue	
Marker 93	1:29.226	0:00.000	decimal	Cue	
Marker 94	1:38.760	0:00.000	decimal	Cue	
Marker 95	1:46.160	0:00.000	decimal	Cue	
Marker 107	1:50.760	0:00.000	decimal	Cue	
Marker 112	1:59.604	0:00.000	decimal	Cue	
Marker 145	2:11.477	0:00.000	decimal	Cue	
Marker 146	2:18.416	0:00.000	decimal	Cue	
Marker 152	2:32.477	0:00.000	decimal	Cue	
Marker 153	2:37.567	0:00.000	decimal	Cue	
Marker 158	2:43.684	0:00.000	decimal	Cue	
Marker 162	2:50.274	0:00.000	decimal	Cue	
Marker 167	2:53.848	0:00.000	decimal	Cue	
Marker 176	3:00.815	0:00.000	decimal	Cue	
Marker 190	3:06.346	0:00.000	decimal	Cue	
Marker 195	3:20.183	0:00.000	decimal	Cue	
Marker 205	3:30.818	0:00.000	decimal	Cue	
Marker 206	3:35.278	0:00.000	decimal	Cue	
Marker 211	3:40.500	0:00.000	decimal	Cue	
