Name	Start	Duration	Time Format	Type	Description
Marker 05	0:04.399	0:00.000	decimal	Cue	
Marker 10	0:09.540	0:00.000	decimal	Cue	
Marker 11	0:20.390	0:00.000	decimal	Cue	
Marker 12	0:25.540	0:00.000	decimal	Cue	
Marker 13	0:32.160	0:00.000	decimal	Cue	
Marker 14	0:36.816	0:00.000	decimal	Cue	
Marker 15	0:41.646	0:00.000	decimal	Cue	
Marker 16	0:52.730	0:00.000	decimal	Cue	
Marker 17	0:59.650	0:00.000	decimal	Cue	
Marker 18	1:05.900	0:00.000	decimal	Cue	
Marker 19	1:09.908	0:00.000	decimal	Cue	
Marker 31	1:17.034	0:00.000	decimal	Cue	
Marker 40	1:22.000	0:00.000	decimal	Cue	
Marker 41	1:32.590	0:00.000	decimal	Cue	
Marker 58	1:41.126	0:00.000	decimal	Cue	
Marker 59	1:42.784	0:00.000	decimal	Cue	
Marker 60	1:44.455	0:00.000	decimal	Cue	
Marker 66	1:48.996	0:00.000	decimal	Cue	
Marker 67	1:51.061	0:00.000	decimal	Cue	
Marker 68	1:54.041	0:00.000	decimal	Cue	
Marker 73	1:56.743	0:00.000	decimal	Cue	
Marker 74	1:59.362	0:00.000	decimal	Cue	
Marker 75	2:11.942	0:00.000	decimal	Cue	
Marker 76	2:15.776	0:00.000	decimal	Cue	
Marker 77	2:18.212	0:00.000	decimal	Cue	
Marker 82	2:21.145	0:00.000	decimal	Cue	
Marker 88	2:25.497	0:00.000	decimal	Cue	
Marker 89	2:30.470	0:00.000	decimal	Cue	
