Name	Start	Duration	Time Format	Type	Description
Marker 22	0:08.776	0:00.000	decimal	Cue	
Marker 23	0:19.072	0:00.000	decimal	Cue	
Marker 24	0:32.773	0:00.000	decimal	Cue	
Marker 25	0:33.012	0:00.000	decimal	Cue	
Marker 26	0:33.172	0:00.000	decimal	Cue	
Marker 27	0:39.336	0:00.000	decimal	Cue	
Marker 28	0:45.086	0:00.000	decimal	Cue	
Marker 29	0:59.082	0:00.000	decimal	Cue	
Marker 30	1:06.882	0:00.000	decimal	Cue	
Marker 31	1:14.556	0:00.000	decimal	Cue	
Marker 42	1:24.094	0:00.000	decimal	Cue	
Marker 43	1:34.244	0:00.000	decimal	Cue	
Marker 48	1:44.325	0:00.000	decimal	Cue	
Marker 49	1:49.434	0:00.000	decimal	Cue	
Marker 59	1:58.516	0:00.000	decimal	Cue	
Marker 70	2:05.922	0:00.000	decimal	Cue	
Marker 75	2:12.494	0:00.000	decimal	Cue	
