Name	Start	Duration	Time Format	Type	Description
Marker 01	0:03.400	0:00.000	decimal	Cue	
Marker 07	0:10.332	0:00.000	decimal	Cue	
Marker 18	0:16.617	0:00.000	decimal	Cue	
Marker 19	0:26.519	0:00.000	decimal	Cue	
Marker 20	0:36.790	0:00.000	decimal	Cue	
Marker 21	0:43.909	0:00.000	decimal	Cue	
Marker 22	0:53.000	0:00.000	decimal	Cue	
Marker 23	0:59.125	0:00.000	decimal	Cue	
Marker 24	1:10.760	0:00.000	decimal	Cue	
Marker 37	1:17.331	0:00.000	decimal	Cue	
Marker 46	1:24.374	0:00.000	decimal	Cue	
Marker 47	1:29.695	0:00.000	decimal	Cue	
Marker 48	1:34.354	0:00.000	decimal	Cue	
Marker 56	1:39.049	0:00.000	decimal	Cue	
Marker 57	1:46.348	0:00.000	decimal	Cue	
Marker 58	1:53.077	0:00.000	decimal	Cue	
Marker 63	2:08.742	0:00.000	decimal	Cue	
Marker 69	2:15.565	0:00.000	decimal	Cue	
Marker 74	2:21.326	0:00.000	decimal	Cue	
Marker 76	2:29.976	0:00.000	decimal	Cue	
Marker 102	2:41.598	0:00.000	decimal	Cue	
Marker 94	2:48.664	0:00.000	decimal	Cue	
Marker 99	2:53.996	0:00.000	decimal	Cue	
Marker 100	3:00.968	0:00.000	decimal	Cue	
Marker 101	3:06.140	0:00.000	decimal	Cue	
