Name	Start	Duration	Time Format	Type	Description
M  arker 03	0:07.417	0:00.000	decimal	Cue	
Marker 04	0:15.506	0:00.000	decimal	Cue	
Marker 05	0:30.210	0:00.000	decimal	Cue	
Marker 06	0:37.365	0:00.000	decimal	Cue	
Marker 07	0:47.289	0:00.000	decimal	Cue	
Marker 08	0:56.330	0:00.000	decimal	Cue	
Marker 09	0:59.147	0:00.000	decimal	Cue	
Marker 10	1:08.191	0:00.000	decimal	Cue	
Marker 11	1:14.000	0:00.000	decimal	Cue	
Marker 12	1:19.712	0:00.000	decimal	Cue	
Marker 13	1:28.204	0:00.000	decimal	Cue	
Marker 14	1:32.895	0:00.000	decimal	Cue	
Marker 15	1:40.161	0:00.000	decimal	Cue	
Marker 16	1:49.619	0:00.000	decimal	Cue	
Marker 17	1:57.000	0:00.000	decimal	Cue	
Marker 18	2:05.539	0:00.000	decimal	Cue	
Marker 19	2:11.081	0:00.000	decimal	Cue	
Marker 20	2:23.432	0:00.000	decimal	Cue	
Marker 21	2:30.751	0:00.000	decimal	Cue	
Marker 22	2:37.118	0:00.000	decimal	Cue	
Marker 23	2:44.000	0:00.000	decimal	Cue	
Marker 24	2:51.863	0:00.000	decimal	Cue	
Marker 25	3:02.001	0:00.000	decimal	Cue	
Marker 26	3:16.113	0:00.000	decimal	Cue	
Marker 27	3:23.232	0:00.000	decimal	Cue	
